age,income,gender_male,race_Non-Hispanic Asian,race_Non-Hispanic Black,race_Non-Hispanic White,race_Other Hispanic,race_Other Race,education_College graduate or above,education_High school graduate/GED or equivalent,education_Less than 9th grade,education_Some college or AA degree,marital_status_Never married,marital_status_Widowed/Divorced/Separated,num_meals_not_home,num_meals_fast_food,num_ready_foods_30_days,num_frozen_foods_30_days
20,5.0,0,0,0,1,0,0,0,0,0,1,1,0,7,1,0,3
52,3.73,1,1,0,0,0,0,1,0,0,0,0,0,4,0,0,0
72,4.85,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0
32,2.49,1,0,0,0,0,0,0,1,0,0,1,0,10,3,2,2
29,0.35,0,0,1,0,0,0,0,0,0,0,0,0,5,2,30,1
52,5.0,0,0,1,0,0,0,1,0,0,0,0,0,3,1,0,2
55,2.59,0,0,0,1,0,0,0,0,0,1,0,1,5,2,10,7
36,5.0,0,1,0,0,0,0,1,0,0,0,0,0,4,1,0,0
29,0.93,0,0,0,0,0,0,0,1,0,0,0,0,5,1,2,3
80,4.77,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1
22,0.41,1,0,0,0,1,0,0,1,0,0,1,0,5,3,0,25
34,5.0,1,0,0,0,0,1,1,0,0,0,0,0,10,2,4,10
50,3.79,1,0,0,1,0,0,0,1,0,0,0,0,10,3,0,0
30,1.44,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,15
66,1.13,0,0,1,0,0,0,0,1,0,0,0,1,2,1,3,2
54,1.42,0,0,0,1,0,0,0,0,0,1,0,0,5,3,2,2
35,2.89,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
59,2.88,1,0,0,0,1,0,0,0,0,1,0,1,2,2,1,2
77,2.32,0,0,0,1,0,0,0,0,0,1,0,1,2,1,0,2
50,5.0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,2,0
29,0.8,1,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0
54,1.07,0,0,0,0,1,0,0,0,0,1,0,1,12,5,0,0
74,1.71,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
25,4.65,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
64,1.64,0,0,0,0,0,1,0,0,0,1,0,0,2,2,0,0
75,5.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1
33,0.36,0,0,1,0,0,0,0,0,0,0,1,0,3,2,0,0
28,4.05,0,0,0,1,0,0,0,0,0,1,0,0,5,2,15,5
55,0.58,1,0,0,1,0,0,0,0,0,0,0,1,3,3,0,2
55,1.5,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,1
75,4.44,1,0,0,1,0,0,0,0,0,1,0,0,1,0,3,1
38,0.78,0,0,1,0,0,0,0,0,0,1,1,0,3,1,17,8
55,5.0,1,0,0,0,1,0,0,0,0,1,0,0,7,5,0,5
80,4.21,0,0,0,1,0,0,0,0,0,1,0,1,0,0,3,7
41,5.0,1,0,1,0,0,0,0,0,0,1,0,1,7,4,10,0
60,5.0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,8,0
48,5.0,1,1,0,0,0,0,1,0,0,0,0,0,8,0,3,0
45,5.0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,5,1
25,3.19,1,0,0,0,0,1,0,1,0,0,0,0,3,3,0,10
80,2.06,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
20,1.16,0,0,1,0,0,0,0,1,0,0,1,0,5,5,0,20
32,1.82,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
80,1.39,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
48,1.88,0,0,0,0,1,0,0,0,0,0,0,1,3,2,0,0
80,5.0,0,0,0,1,0,0,0,0,0,1,0,0,7,1,0,0
80,1.69,1,0,0,1,0,0,0,1,0,0,0,0,5,0,0,2
75,1.78,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
53,5.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
80,5.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,2,2
52,2.07,0,0,1,0,0,0,0,1,0,0,1,0,4,4,0,2
58,5.0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0
54,4.0,0,0,0,1,0,0,1,0,0,0,0,1,2,0,3,0
58,5.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
42,0.51,0,0,0,1,0,0,0,1,0,0,0,1,0,0,5,4
51,5.0,1,0,1,0,0,0,0,0,0,1,0,0,2,2,0,2
72,4.62,1,0,0,1,0,0,1,0,0,0,0,0,2,1,0,1
35,0.65,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
74,3.38,1,0,0,0,0,1,1,0,0,0,0,1,6,0,0,4
34,2.59,0,0,0,0,1,0,1,0,0,0,1,0,2,0,1,1
57,0.86,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
57,2.49,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
79,3.09,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
