age,income,gender_male,education,race_Non-Hispanic Asian,race_Non-Hispanic Black,race_Non-Hispanic White,race_Other Hispanic,race_Other Race,marital_status_Never married,marital_status_Widowed/Divorced/Separated,num_meals_not_home,num_meals_fast_food,num_ready_foods_30_days,num_frozen_foods_30_days,num_home_cook
0.36666666666666664,1.0,1,1.0,0,1,0,0,0,0,0,0.14285714285714285,0.09523809523809523,0.0,0.022222222222222223,0.7396825396825396
0.4666666666666667,1.0,0,1.0,0,0,1,0,0,0,0,0.23809523809523808,0.047619047619047616,0.07777777777777778,0.022222222222222223,0.6142857142857142
0.08333333333333333,0.9560000000000001,0,1.0,1,0,0,0,0,1,0,0.047619047619047616,0.0,0.0,0.022222222222222223,0.9301587301587301
0.5833333333333334,0.32,1,0.75,0,1,0,0,0,0,1,0.23809523809523808,0.09523809523809523,0.011111111111111112,0.0,0.6555555555555556
1.0,0.132,1,1.0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0
0.95,0.576,0,0.5,0,0,1,0,0,0,1,0.0,0.0,0.044444444444444446,0.03333333333333333,0.9222222222222223
0.8166666666666667,0.852,0,1.0,0,1,0,0,0,1,0,0.14285714285714285,0.047619047619047616,0.0,0.0,0.8095238095238094
0.48333333333333334,0.356,0,0.5,0,0,0,0,0,0,0,0.14285714285714285,0.047619047619047616,0.044444444444444446,0.0,0.7650793650793649
0.8333333333333334,0.78,1,0.75,0,0,1,0,0,0,0,0.14285714285714285,0.0,0.022222222222222223,0.0,0.8349206349206348
0.95,0.182,0,0.0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0
0.4666666666666667,1.0,0,1.0,0,0,1,0,0,0,0,0.14285714285714285,0.047619047619047616,0.0,0.16666666666666666,0.6428571428571428
0.7666666666666667,0.19,0,0.25,0,0,1,0,0,0,1,0.0,0.0,0.0,0.022222222222222223,0.9777777777777777
0.9333333333333333,0.08,0,0.0,0,0,1,0,0,0,1,0.047619047619047616,0.047619047619047616,0.0,0.0,0.9047619047619047
0.08333333333333333,0.922,0,1.0,0,1,0,0,0,1,0,0.14285714285714285,0.14285714285714285,0.05555555555555555,0.0,0.6587301587301586
0.03333333333333333,0.704,1,0.75,0,0,1,0,0,1,0,0.19047619047619047,0.047619047619047616,0.022222222222222223,0.13333333333333333,0.6063492063492063
0.7333333333333333,0.37,0,1.0,0,0,1,0,0,0,0,0.047619047619047616,0.0,0.0,0.0,0.9523809523809523
